text,language,emotions
"ड्राइवर ने कहा कि अगर हम थाने में शिकायत करेंगे तो हम पर केस वापस ले लिया जाएगा, इसलिए हम डर के मारे चुप हैं।",hinglish,"fear,intimidation,hopelessness,help_seeking"
"पड़ोसी ने हमारे खेत में आग लगा दी, धुआँ इतना भयानक था कि हम सांस नहीं ले पा रहे, अब हमें क्या करना चाहिए?",hinglish,"panic,immediate_danger,fear,help_seeking"
"एफआईआर दर्ज करवाई पर थानेदार ने हमें बताया कि अगले दिन हमारे घर की खिड़कियों पर गोली मारेंगे, इसलिए हम रात को बाहर नहीं जा सकते।",hinglish,"fear,intimidation,panic,immediate_danger"
"हमारी जमीन पर नया दबंग आया, कहा कि अब से हम इस खेत को नहीं जोत सकते, नहीं तो हम दारू पीकर गाली‑गलौज करेंगे।",hinglish,"anger,fear,intimidation,help_seeking"
"DSP नहीं आया, हमें दो हफ्ते से इंतजार है, लेकिन दबंग अभी भी हमारे कुआँ को बंद कर रहे हैं।",hinglish,"hopelessness,anger,help_seeking"
"मेरे बेटे को स्कूल से वापस लाते समय दो लोग लाठी से मारने की धमकी दे रहे हैं, अब हम उसे बाहर नहीं भेज पाते।",hinglish,"fear,panic,immediate_danger,help_seeking"
"कृपया बताइए, हमारे गाँव में SC/ST के लिए आवंटित पट्टा की स्थिति क्या है और कब अपडेट होगा?",hinglish,others
"पंचायत में जब मैं अपने खेत के पट्टे की जमीन का हक़ बताने गया तो मुखिया ने मुझे ""छुआ नहीं"" कह कर धक्का मार दिया और जातिसूचक गालियां दीं, अब मैं डर के मारे खेत नहीं जोत पाता।",hi,"fear,anger,sadness,intimidation"
"आज रात हमारे बस्ती के चारों ओर दंगाई वाले लोग पत्थर और छुरियों से घेर रहे हैं, दरवाज़े बंद हैं, आवाज़ें तेज़ हैं, कृपया तुरंत पुलिस भेजें।",hi,"immediate_danger,panic,fear,help_seeking"
"हमारी बेटी पर एफआईआर दर्ज करवाई थी, अब वही आरोपी बंधक पर निकल कर हथियार लेकर हमारे घर के बाहर खड़ा है, बच्चों को देख रहा है और कह रहा है कि FIR वापस ले लो नहीं तो सबको मार डालेंगे।",hi,"intimidation,fear,hopelessness,anger"
"गाँव के दुकान में जब मैं दाल खरीदने गया तो दुकानदार ने मुझे ""निचला वर्ग"" कह कर बाहर निकाल दिया और कहा कि मेरे जैसे लोग यहाँ नहीं आते।",hi,"sadness,anger,fear"
"रात को दहाड़ते हुए दंगाई वाले लोग हमारे कच्चे घर में आग लगा रहे हैं, सभी को बचाने के लिए तुरंत थानेदार भेजें, नहीं तो सब जल जाएंगे।",hi,"immediate_danger,panic,fear,help_seeking"
"एफआईआर दर्ज करने के बाद से हमारे टोले को सामाजिक बहिष्कार मिला है, लोग हमें खलिहान में भी नहीं बुलाते, पानी की टंकी की पाइप को भी काट दिया गया, हम बेबस हैं।",hi,"intimidation,hopelessness,sadness,anger"
"गाँव की चौपाल में जब मैं अपना मुद्दा रखने गया तो कुछ दबंगों ने मुझे ""छुआ नहीं"" कह कर धक्का मार दिया और बोले कि हमसे बात नहीं करेंगे।",hi,"sadness,anger,intimidation"
"हमारे घर पर कई बार दंगाई वाले लोग धक्के मार रहे हैं, मेरे बेटे को भी मार गिराया गया, पुलिस नहीं आ रही, कृपया तुरंत मदद भेजें।",hi,"immediate_danger,panic,fear,help_seeking"
"बैलेंस पर बंधक पर निकला आरोपी अब हथियार लेकर हमारे घर के सामने खड़ा है, कह रहा है कि अगर FIR नहीं हटाई गई तो हम सबको मार डालेंगे।",hi,"intimidation,fear,hopelessness"
"हमारी जल टंकी के पास के कुएँ पर दबंगों ने ""छुआ नहीं"" कह कर रोक दिया, अब हमें दूर से पानी लाना पड़ रहा है, बहुत दिक्कत हो रही है।",hi,"sadness,anger,hopelessness"
"मेरी दो छोटी बच्चियों को दंगाई वाले लोगों ने ले गए, उन्होंने कहा कि अगर हम FIR वापस नहीं लेंगे तो उन्हें वापस नहीं लाएंगे, कृपया तुरंत बचाव करें।",hi,"panic,fear,immediate_danger,help_seeking"
"मैं जानना चाहता हूँ कि मेरे द्वारा दो महीने पहले दर्ज की गई एफआईआर का क्या статус है, कृपया जानकारी दें।",hi,others
"हमारे बब्बर के खेत का रास्ता दबंगों ने ट्रैक्टर खड़ा करके रोक दियो, निकलते‑ही जातिसूचक गालियां दे रहे हैं, थानेदार सुनता ही ना।",hi,"intimidation,fear,anger,help_seeking"
"पिछले कल हमारे पैतृक पट्टे की फसल को ऊँचा वर्ग के लोग आग लगा के जलाए, अब हम भूखे हैं, डर के मारे रोते‑रोते काम नहीं कर पा रहे।",hi,"fear,anger,sadness,help_seeking"
"गुहार लगाते‑लगाते हमारे गाँव के कुएँ के पास का रास्ता धातु के बाड़े से बंद कर दिया गया, पानी नहीं मिल रहा, बच्चे भी पीने को नहीं पा रहे, तुरंत मदद चाहिए।",hi,"panic,immediate_danger,help_seeking"
"हमारी माँ के खिलाफ झूठा एफआईआर दायर कर दिया गया, अब पुलिस भी नहीं सुनती, केस में फँस कर हम सब बेबस हैं।",hi,"hopelessness,anger,help_seeking"
"डॉक्टर ने जो मेडिकल रिपोर्ट दी थी, वो पोर्टल पर नहीं दिख रही, इलाज का खर्चा भी नहीं मिल रहा, बहुत निराश हूँ।",hi,"sadness,hopelessness,help_seeking"
"जिला कोर्ट में हमारे लिये वकील नहीं मिला, वकील की फीस भी नहीं दे पा रहे, अब क्या करें, थके‑थके थक गए हैं।",hi,"hopelessness,sadness,others"
"सरकारी पोर्टल पर दिये गये नुकसान की भरपाई अभी तक नहीं आई, महीनों से इंतजार कर रहे हैं, बहुत गुस्सा आ रहा है।",hi,"anger,hopelessness,help_seeking"
"बाबूजी, मंदिर में हमें प्रवेश नहीं दिया गया, ऊँचा वर्ग वाले हमें बेइज्जत कर के कहा ‘तुम्हारा यहाँ कोई हक नहीं’।",hi,"sadness,anger,help_seeking"
"पंचायत में बैठके में हमें जातिसूचक गालियां दी गईं, लोग डर के मारे चुप रहे, थानेदार भी नहीं आया, बहुत डर लग रहा है।",hi,"intimidation,fear,anger,help_seeking"
"हमारे टोले के दूकान में दारू पीकर लोग हमें धक्का‑मार कर बाहर निकाल रहे हैं, अब हम सामान नहीं खरीद पा रहे।",hi,"sadness,anger,help_seeking"
"हमारी बेटी को दारू पीकर गाली‑गलौज करने वाले लोगों ने धमकी दी कि अगर हम शिकायत करेंगे तो उसे मार डालेंगे, अब डर के मारे हम कुछ नहीं बोल पा रहे।",hi,"intimidation,fear,immediate_danger,help_seeking"
"गाँव में हमारे परिवार को सामाजिक बहिष्कार कर दिया गया, लोग चौपाल में भी हमें नहीं बुलाते, बहुत अकेला और निराश महसूस कर रहा हूँ।",hi,"sadness,hopelessness,help_seeking"
"बाबू जी, कल हमरे गाँव के मंदिर में हमरे टोले के लोगन को जातिसूचक गालियाँ देके अंदर नहीं जाने दिया, सब लोगन हमको बेइज्जत समझ रहे हैं।",hi,"intimidation,sadness,anger,hopelessness"
"हम गरीब लोगन के परिवार पर झूठा एफआईआर दायर कर दिया गया, वकील नहीं मिला और मेडिकल रिपोर्ट भी नहीं आई, अब हम क्या करिए?",hi,"panic,hopelessness,help_seeking,anger"
"हमरे दादा के पट्टा वाले खेत में दबंग लोगन ने घुस कर फसल जलाकर ले ली, अब हमरे पास रोज़ी-रोटी का साधन नहीं बचा।",hi,"fear,anger,help_seeking,hopelessness"
"टोला के रास्ता ट्रैक्टर से बंद कर दिया गया, दबंग लोगन ने कहा अगर हम हटेंगे नहीं तो हाथापाई करेंगे।",hi,"intimidation,fear,hopelessness"
"गाँव के कुएँ को दुरुस्त नहीं किया, दारू पीकर गाली-गलौज करने वाले लोगन ने उसे तोड़ दिया, अब हमरे बच्चों को पानी नहीं मिल रहा।",hi,"sadness,hopelessness,help_seeking"
"जब हम ने पिंड सभा में जाति गाली की शिकायत की तो पूरे गाँव ने हमें सामाजिक बहिष्कार कर दिया, अब कोई भी हमसे बात नहीं करता।",hi,"sadness,hopelessness,intimidation"
"एफआईआर दर्ज करवाई लेकिन थाना-कचहरी में रिपोर्ट नहीं मिली, डॉक्टर की रिपोर्ट भी नहीं आई, पुलिस ने हमें नजरअंदाज कर दिया।",hi,"panic,hopelessness,help_seeking"
बाजार में दारू पीकर गाली-गलौज करने वाले दबंग लोगन ने हमें धक्का मार कर धमकी दी कि अगर हम शिकायत करेंगे तो तुरंत मार डालेंगे।,hi,"immediate_danger,fear,intimidation"
"रोज़ी-रोटी का राशन हमें ऊँची जाति वाले लोगों को पहले दे दिया, हमें तो खाली हाथ घर लौटना पड़ता है।",hi,"sadness,anger,hopelessness"
"हमारे टोले को जमीन का पट्टा दिलाने के लिए दबंग लोगन ने बड़े पैसे की मांग की, नहीं तो हमको जमीन से निकाल देंगे, हम बहुत डर रहे हैं।",hi,"intimidation,fear,anger"
"हमारी टोलिया की महिलाओं पर रात को थानेदार ने कोई कार्रवाई नहीं की, हम डर के मारे नहीं बोल पाते, मदद चाहिए।",hi,"panic,help_seeking,sadness"
"गुहार है, हमारे पास पोर्टल पर दिख रहा है कि मुआवजा अभी भी लंबित है, कृपया स्थिति बताइए।",hi,others
"बाबूजी, 14566 हेल्पलाइन के दफ़्तर के कामकाज़ के समय क्या हैं?",hi,others
"कृपया बताइए, कानूनी सहायता के लिये कौन‑कौन से दस्तावेज़ चाहिए?",hi,others
"मेरे केस का डॉकेट नंबर 2023/14566/07 है, उसकी प्रगति की स्थिति क्या है?",hi,others
"हमारे टोले का हाथपंप आज से बंद कर दिया, गाँव वाले दबंगों की तरह धमकी दे रहे हैं, अब पानी नहीं मिल रहा, बहुत गुस्सा और उदास हूँ।",hi,"anger,sadness,hopelessness"
"बार्बर साहब ने कहा कि मेरे कुटुंब को सेवा नहीं देगा, कहते हैं सामाजिक बहिष्कार है, मैं बहुत गुस्से में हूँ और दिल टूट गया।",hi,"anger,sadness"
"गाँव की दुकान ने हमारे टोले को सब्ज़ी नहीं बेची, कहा कि हम यहाँ नहीं आते, इस दबंगी से डर लग रहा है, गुस्सा है।",hi,"anger,intimidation"
"अबे थानेदार सुनता ही ना, हमारे घर के बाहर धाकड़ लोग पत्थर फेंक रहे हैं, बंदूक भी दिखा रहे हैं, तुरंत मदद चाहिए!",hi,"immediate_danger,fear,panic,intimidation"
"हमारी बस्ती के सामने दहाड़ते हुए लोग चाकू लेकर खड़े हैं, दरवाज़ा बंद है, हम चिल्ला रहे हैं, मदद करो!",hi,"immediate_danger,fear,panic"
"छोरियों को दारू पीकर गाली‑गलौज कर रहे हैं, हथियार दिखा रहे हैं, हम डर के मारे नहीं चल पा रहे, पुलिस जल्दी भेजो!",hi,"immediate_danger,fear,panic,anger"
"हमारे कुटुंब को पूरे गाँव ने सामाजिक बहिष्कार कर दिया, कोई बात नहीं करता, हमें बेइज्जत कर रहे हैं, दिल टूट गया, आशा नहीं बची।",hi,"hopelessness,sadness,anger"
"कुआँ के पास जाने पर गाँव वाले धौंस दे रहे हैं, कहते हैं अगर पानी लेंगे तो मार देंगे, बहुत डर और गुस्सा है।",hi,"intimidation,fear,anger"
"एफआईआर ऑनलाइन कैसे दर्ज करूँ, क्या कोई गाइडलाइन है?",hi,others
"हमारे गाँव के सार्वजनिक कुएँ से पानी निकालने पर दक्खिन वाले दबंगों ने हमें रोक दिया और दारू पीकर गाली‑गलौज की, अब हम प्यास से मर रहे हैं, कृपया मदद करें।",hi,"fear,hopelessness,help_seeking"
"बाबूजी, हमारे टोले में बार्बर ने जातिसूचक शब्द बोलते हुए हमारे बाल नहीं काटे, और पूरे गाँव में सामाजिक बहिष्कार कर दिया, हमें बहुत गुस्सा और दुख हो रहा है।",hi,"anger,sadness,intimidation,help_seeking"
"कल रात लाठी से मारते हुए दो दबंगों ने हमारे घर के बाहर धमकी दी कि अगर हम FIR दर्ज नहीं करवाएंगे तो फिर से मारेंगे, हम बहुत डर के मारे पैनिक में हैं।",hi,"immediate_danger,fear,panic,intimidation"
"हमारे घर को जलाने की धमकी दी गई है, दारू पीते हुए दबंग कह रहे हैं कि अगर हम पुलिस को नहीं बुलाएंगे तो खलिहान में आग लगा देंगे, हमें तुरंत सुरक्षा चाहिए।",hi,"immediate_danger,fear,panic,help_seeking"
"बजायश के बाद बँधे हुए आरोपी ने बंधु के साथ हथियार लेकर हमारे घर के बाहर घुमा-फिरा कर कहा कि अगर हम FIR वापस नहीं लेते तो हमारी पूरी परिवार को मार डालेंगे, हम बहुत डर रहे हैं।",hi,"intimidation,fear,hopelessness,help_seeking"
"वह दबंग हमारे बच्चों को लगातार पीछा कर रहा है और कह रहा है कि अगर हम FIR नहीं हटाएंगे तो उन्हें मार डालेगा, हमारी माँ बहुत डर गई है।",hi,"intimidation,fear,panic"
"गाँव की दो किराना दुकानें हमें सामान नहीं बेच रही हैं, दुकान वाले हमें बेइज्जत कर रहे हैं और कह रहे हैं कि हम कभी नहीं खरीदेंगे, इस सामाजिक बहिष्कार से हमें बहुत गुस्सा और निराशा है।",hi,"anger,sadness,hopelessness,help_seeking"
"हमारी सार्वजनिक हाथपंप से पानी निकालने पर दबंगों ने जातिसूचक शब्द बोले और हमें रोक दिया, अब हम पानी के बिना पीड़ित हैं, हमें डर लग रहा है।",hi,"fear,intimidation,hopelessness"
"मेरी पत्नी को लाठी से मारते हुए दो दबंगों ने धमकी दी कि अगर हम पुलिस को नहीं बुलाएंगे तो वह फिर से मारेंगे, हम बहुत डर के साथ मदद चाहते हैं।",hi,"immediate_danger,fear,panic,help_seeking"
"हमारी पट्टे की जमीन पर अवैध कब्जा करके गाँव के दबंग ने हमें बाहर निकाल दिया, अब हम अपना घर नहीं पा रहे, बहुत गुस्सा और मदद की जरूरत है।",hi,"anger,hopelessness,help_seeking"
"गाँव में दारू पीते हुए दबंगों ने रात में धूम्रपान करते हुए कहा कि अगर हम थानेदार को नहीं बुलाएंगे तो हम सबको मार डालेंगे, हम बहुत डर रहे हैं।",hi,"fear,immediate_danger,panic,help_seeking"
"हमने जो FIR दर्ज करवाई थी, उसके बारे में अभी तक कोई जानकारी नहीं मिली, कृपया स्थिति बताइए।",hi,others
"हमारे दादा जी का पुराना पट्टा वाला जमीन अब गांव के दबंगों ने अपने खेत में मिला दिया, अब हम खेती नहीं कर पा रहे।",hinglish,"fear,anger,help_seeking"
"कल रात हमारे खेत में धुआँ उठ गया, दबंगों ने हमारे फसल को आग लगा दी और हमें धमकी दी कि फिर नहीं कहेंगे तो फिर से जला देंगे।",hinglish,"intimidation,fear,immediate_danger,help_seeking"
"हमारा खेत का रास्ता अब गाँव के बड़े जमींदार ने ट्रैक्टर रख कर बंद कर दिया, बाहर नहीं जा पा रहे, रोज़ थानेदार को बुलाते हैं पर कुछ नहीं होता।",hinglish,"panic,hopelessness,help_seeking"
"पंचायत में जब हम अपने मुद्दे रखे तो कुछ बुजुर्गों ने हमें जातिसूचक गालियां दी और कहा कि हम यहाँ नहीं आ सकते, हमें बहुत बेइज्जत महसूस हो रहा है।",hinglish,"sadness,anger,hopelessness"
"हमारे गांव के मंदिर के द्वार पर हमें रोक दिया गया, पुजारी ने कहा 'तुम्हारी जाति से यहाँ नहीं आना चाहिए', अब हम रोज़ रोते हैं।",hinglish,"sadness,fear,hopelessness"
"जब हमने थानेदार को रिपोर्ट करने के लिए गया, तो उन्होंने हमारी शिकायत कागज़ को फाड़ दिया और कहा 'ऐसे छोटे लोग क्या कर सकते हैं', अब हमें डर लग रहा है।",hinglish,"intimidation,hopelessness,help_seeking"
"डारोगा साहब ने कहा कि हमारे खिलाफ केस नहीं बनेंगे, हमें फाइल करने को कहा तो उन्होंने कहा 'तुम्हारी जाति के लोग नहीं बना सकते', अब हम बहुत गुस्से में हैं।",hinglish,"anger,hopelessness,help_seeking"
"हमारी बेटी को स्कूल से निकाल दिया गया, दबंगों ने कहा अगर हम शिकायत करेंगे तो उसे मार डालेंगे, हमें तुरंत मदद चाहिए।",hinglish,"intimidation,immediate_danger,fear,help_seeking"
"हमारे घर में अब कोई भी नहीं आता, सब लोग हमें सामाजिक बहिष्कार कर रहे हैं क्योंकि हम SC हैं, हम बहुत उदास हैं।",hinglish,"sadness,hopelessness,help_seeking"
"DSP ने वादा किया था कि वो आएंगे, पर दो हफ्ते बीत गए, अभी तक कोई नहीं आया, हम इंतजार में थक गए।",hinglish,"others,hopelessness"
"दबंगों ने दारू पीकर हमें गाली-गलौज की और कहा कि अगर हम शिकायत करेंगे तो हमारे खेत में आग लगा देंगे, हम बहुत डर रहे हैं।",hinglish,"intimidation,fear,immediate_danger,help_seeking"
"हमारी फसल को बिना पूछे ही दबंगों ने काट लिया, और हमारे खेत में उनका ट्रैक्टर खड़ा कर दिया, अब हम कुछ नहीं कर पा रहे।",hinglish,"anger,intimidation,help_seeking"
14566 हेल्पलाइन के कार्यालय के समय क्या हैं? कृपया सुबह‑शाम की समय-सारणी बताइए।,hi,others
"कानूनी सहायता के लिए कौन‑कौन से दस्तावेज़ चाहिए, और क्या हमें कोई फ़ॉर्म भरना पड़ेगा?",hi,others
हमारे दायर किए गए डॉकेट नंबर 2023/145/07 की वर्तमान स्थिति क्या है? कृपया अपडेट दें।,hi,others
"पॉवर्टी अलायंस एफ़ड्रॉड फंड का भुगतान दो महीने से नहीं आया, अब घर की रोशनी भी नहीं चल रही।",hi,"anger,sadness,hopelessness"
"मेरे बेटे की स्कॉलरशिप अभी तक ट्रांसफ़र नहीं हुई, कॉलेज की फीस जमा नहीं हो पा रही है।",hi,"anger,sadness"
"हमारे टोले की मुख्य सड़क पर गड्ढे हैं, गाड़ी चलाते‑चलाते पहियों को नुकसान हो रहा है, कृपया जल्द मरम्मत करवाएँ।",hi,"help_seeking,others"
"टोला के पास नया ड्रेनेज नहीं होने से बारिश में पानी भर जाता है, लोग फिसल कर गिर रहे हैं, कृपया इस पर कार्रवाई करें।",hi,"help_seeking,others"
"हमारे पास पट्टे की जमीन है, लेकिन पड़ोसी ने अवैध कब्जा कर लिया है और हमें बाहर निकालने की धमकी दे रहा है।",hi,"anger,intimidation,hopelessness"
"जैसे ही हमने जातिसूचक शब्दों की शिकायत की, हमें सामाजिक बहिष्कार का सामना करना पड़ रहा है, अब कोई भी हमारे घर में नहीं जाता।",hi,"sadness,anger,hopelessness"
"अब तो पूरी बस्ती के लोग पत्थर फेंक रहे हैं, हथियार लेकर घर के बाहर घेर रहे हैं, कृपया तुरंत पुलिस भेजें!",hi,"immediate_danger,fear,panic,help_seeking"
"हमारे घर के दरवाज़े अंदर से बंद कर रखे हैं, दारू पीकर गाली‑गलौज वाले लोग धमकी दे रहे हैं, पुलिस नहीं आ रही, मदद चाहिए।",hi,"immediate_danger,fear,intimidation,help_seeking"
"कुंआ में पानी नहीं आ रहा, और हमें जातिसूचक शब्दों से गाली‑गलौज का सामना करना पड़ रहा है, कृपया एफआईआर दर्ज कराकर मदद करें।",hi,"help_seeking,anger"
"हमारे दादा जी के पट्टा वाले खेत में दबंगों ने अपना ट्रैक्टर खड़ा कर दिया, अब फसल नहीं उगा पाएंगे, हमें बहुत डर लग रहा है।",hinglish,"fear,intimidation,help_seeking"
"कल रात हमारे टोले के खेत में धुएँ की गंध आई, फिर देखो सब फसल जला दी, अब हम बेइज्जत महसूस कर रहे हैं, कोई मदद करो।",hinglish,"panic,hopelessness,help_seeking"
"हमारी खलिहान तक जाने वाला रास्ता दबंगों ने लकड़ी से बंद कर रखा है, रोज़ सुबह ट्रैक्टर नहीं चल पाते, बहुत गुस्सा है।",hinglish,"anger,help_seeking"
"पिछले हफ़्ते हमारे ट्रैक्टर को दबंगों ने रोक कर हथौड़ा मार दिया, अब हम खेत नहीं जोत पा रहे, हमें डर लग रहा है।",hinglish,"fear,intimidation,help_seeking"
"14566 का ऑफिस कब खुलता है, कृपया बताइए?",hinglish,others
"लीगल एड के लिए कौन‑कौन से दस्तावेज़ चाहिए, कृपया जानकारी दें।",hinglish,others
"मेरे केस का डॉकेट नंबर 2023/SC/045 है, अभी तक कोई अपडेट नहीं मिला, स्थिति बताइए।",hinglish,others
"मेरे भाई को बँध कर धमकी दी गई कि अगर हम एफआईआर नहीं वापस लेते तो परिवार को मार देंगे, अब हम बहुत डर रहे हैं।",hinglish,"fear,intimidation,immediate_danger,help_seeking"
"बजरी वाले दबंग अब जमानत पर बाहर घूम रहे हैं, हाथ में बंदूक लेकर हमारे घर के सामने खड़े हैं, हमें तुरंत सुरक्षा चाहिए।",hinglish,"immediate_danger,fear,help_seeking"
"मेरी बेटी को स्कूल से लेकर घर तक दारू पीकर गाली‑गलौज कर धमकी दी जा रही है, अब हम बहुत परेशान और उदास हैं।",hinglish,"sadness,intimidation,help_seeking"
"हमारे टोले को सामाजिक बहिष्कार कर दिया गया है, लोग हमें खाने‑पीने से भी नहीं लेते, बहुत बेइज्जत महसूस कर रहे हैं।",hinglish,"sadness,hopelessness,help_seeking"
"गाँव के कुएँ के पास दबंगों ने हथौड़े से खरोंचा, अब पानी नहीं निकल रहा, और जब हम शिकायत करने गए तो थानेदार ने हमें चिल्ला कर बेइज्जत किया।",hinglish,"anger,intimidation,help_seeking"
"भाई साहब, हमारे पट्टे वाले किसान भाईयों को PoA राहत फंड का चेक अभी तक नहीं मिला, महीने‑महीने इंतजार कर रहे हैं, अब तो बस गुहार लगा रहे हैं।",hi,"hopelessness,anger,help_seeking"
"मेरी बेटी की स्कॉलरशिप का पैसा अभी तक नहीं आया, कॉलेज ने भी कह दिया कि दस्तावेज़ सही नहीं है, अब हम क्या करें, बस थक कर बैठ गए हैं।",hi,"hopelessness,help_seeking,others"
"हमारे टोले के सामने खेत का रास्ता रोक दियो गया है, ट्रैक्टर से धँस गया है, गाँव की चौपाल में कई बार गुहार लगाई पर अभी तक कोई मरम्मत नहीं हुई।",hi,"help_seeking,others"
"बाबूजी, गाँव के नाले में जलभराव से घर में पानी भर रहा है, drainage की मरम्मत का काम कब होगा, हम तो रोज़ की धूप में खड़े हैं।",hi,"help_seeking,others"
"पिछले महीने हमने जो शिकायत दायर की थी, उसके बारे में अभी तक कोई अपडेट नहीं मिला, कृपया फ़ॉलो‑अप करवा दें, हम इंतज़ार में थक गए हैं।",hi,"help_seeking,others"
"थानेदार सुनता ही ना, हम दबंगों के खिलाफ FIR लिखवाने को कह रहे हैं, पर वह कहता है कि मामला छोटा है, अब हमें क्या करना चाहिए?",hi,"anger,intimidation,fear,help_seeking"
"जब हमने थाने में शिकायत लिखवाई, तो दरोगा ने कागज ही फाड़ दिया, दारू पीकर गाली‑गलौज कर रहा था, अब हम डर के मारे नहीं बोल पा रहे।",hi,"anger,intimidation,fear,help_seeking"
"पड़ोसी दबंगों ने हमें समझौता करने को कहा, थानेदार ने कहा कि हम खुद ही सुलह कर लो, अब तो हम बेइज्जत हो गए हैं, मदद चाहिए।",hi,"anger,intimidation,hopelessness,help_seeking"
"DSP साहब का वादा था कि वो आएँगे, पर दो हफ्ते बीत गए, अब तो गाँव में सबको डर लग रहा है, कब आएँगे वो?",hi,"hopelessness,anger,help_seeking"
"हमारे गाँव के सार्वजनिक कुएँ से पानी नहीं मिल रहा, दूकान वाले भी हमें हाथपंप से पानी लेने नहीं दे रहे, अब तो सब लोग प्यास से मर रहे हैं।",hi,"sadness,hopelessness,help_seeking"
"टोले में बार्बर ने कहा कि वह मेरे बाल नहीं काटेगा, क्योंकि मैं दलित हूँ, अब मैं रोज़ सुबह बिना दाढ़ी के ही निकलता हूँ, बहुत बुरा लग रहा है।",hi,"sadness,anger,hopelessness,help_seeking"
"गाँव की दुकानें सब ने मेरे परिवार को सामाजिक बहिष्कार कर दिया है, कोई भी किराना नहीं बेचते, हम तो बेघर हो रहे हैं, कृपया मदद करें।",hi,"sadness,anger,hopelessness,help_seeking"
"भाई साहब, रात को मेरे घर के सामने दबंगों ने लाठी से मारना शुरू कर दिया, मैं डर के मारे नहीं चल पा रहा हूँ।",hi,"fear,immediate_danger,panic,help_seeking"
"हमारी परिवार के खिलाफ झूठी क्रॉस‑एफआईआर दर्ज कर दी गई है, पुलिस ने कोई जांच नहीं की और मेडिकल रिपोर्ट भी गायब है, अब हमें न्याय नहीं मिल रहा।",hi,"hopelessness,anger,sadness,help_seeking"
पंचायत में जब मैं अपनी बात रख रहा था तो कुछ बुजुर्गों ने जातिसूचक गालियां दीं और हमें सामाजिक बहिष्कार का सामना करना पड़ रहा है।,hi,"sadness,anger,intimidation,help_seeking"
"हमारे पास पट्टे की जमीन है, लेकिन गाँव के दबंगों ने अवैध कब्जा कर लिया, खलिहान तक पहुँच नहीं पा रहे, हमें मदद चाहिए।",hi,"anger,hopelessness,help_seeking,intimidation"
"मैं और मेरे बच्चों को मंदिर में प्रवेश नहीं दिया गया, द्वार पर जाति के कारण धक्का मारकर बाहर निकाल दिया गया, बहुत बेइज्जत महसूस कर रहा हूँ।",hi,"sadness,anger,hopelessness,help_seeking"
"रात को मेरे घर के बाहर दारू पीकर गाली‑गलौज करने वाले लोगों ने मेरे बेटे को मारने की धमकी दी, मैं बहुत डर गई हूँ।",hi,"fear,intimidation,immediate_danger,help_seeking"
"ऑनलाइन पोर्टल पर मेरे पिता की दुर्घटना का मुआवजा अभी तक नहीं आया, कई बार पूछताछ की लेकिन कोई जवाब नहीं मिला।",hi,"hopelessness,sadness,others"
"हमारे टोले को अब गाँव की चौपाल में बुलाया ही नहीं जाता, सभी लोग हमें सामाजिक बहिष्कार कर रहे हैं, हमारी आवाज़ नहीं सुन रहे।",hi,"sadness,hopelessness,help_seeking"
"थानेदार ने हमारे केस को नजरअंदाज कर दिया, जब हमने एफआईआर दर्ज करवाई तो उन्होंने रिपोर्ट में बदलाव कर दिया, अब हमें कोई भरोसा नहीं।",hi,"anger,hopelessness,intimidation,help_seeking"
"गाँव के कुएँ को बंद कर दिया गया, अब हाथपंप से पानी नहीं मिल रहा, हमें पीने के लिए पानी की गुहार लगानी पड़ रही है।",hi,"panic,hopelessness,help_seeking"
"कल शाम को गाँव के दबंगों ने मुझे लाठी से मार कर गिरा दिया, मेरे पैर में चोट लगी और अब कोई डॉक्टर नहीं मिला।",hi,"immediate_danger,fear,sadness,help_seeking"
"एफआईआर दर्ज करवाई लेकिन हमें कोई वकील नहीं मिला, कानूनी सहायता नहीं मिलने से हम बहुत परेशान हैं।",hi,"hopelessness,anger,help_seeking"
"Sir, 14566 office ka timing kya hai? Kal se hi case register karna hai.",hinglish,others
"Legal aid ke liye kaun kaun se documents chahiye, Aadhar, ration card, ya koi aur?",hinglish,others
"Mera docket number 2023/145/07 hai, uski current status bata sakte hain?",hinglish,others
"Meri beti ko raat ko 2 baje दबंगों ne phone karke धमकी di ki agar complaint nahi ki toh usko aur family ko gaali‑गलौज aur मार देंगे, hum sab bahut scared hain.",hinglish,"fear,intimidation,help_seeking"
"Kal shaam ko hamare टोले mein लाठी से मारपीट hui, bachche bhi gire, ab hum sabko immediate danger lag raha hai, koi madad kare.",hinglish,"immediate_danger,fear,panic,help_seeking"
"Dabangg logon ne hamare घर ke सामने आग लगाने ki धमकी di, kaha ki agar complaint withdraw nahi hogi toh poora घर जल जाएगा, hum bahut panic me hain.",hinglish,"immediate_danger,fear,panic"
"Hamare gaon ke babuji ne hamare khilaf false FIR file kar di, ab police hamare khilaf case chal rahi hai, bahut gussa aur dukh hai.",hinglish,"anger,sadness,help_seeking"
"Mujhe medical examination report ab tak nahi mila, compensation claim pending hai, lagta hai system me koi गलती hai, hopeless feel ho raha hai.",hinglish,"hopelessness,anger,help_seeking"
"Legal aid ke liye lawyer request kiya tha, par ab tak koi lawyer assign nahi hua, hum bekaar me intazaar kar rahe hain, bahut hopelessness feel ho rahi hai.",hinglish,"hopelessness,anger,help_seeking"
